Date,Transaction Category,Amount,Credit/Debit,Payment Method,Inflation Rate,Dependent Family Size,Age,Months with Higher Spending,Number of Expenses a Month,Most Frequent Expense Categories,Estimated Monthly Expenses,Day,Month,Year,Year-Month,Budget,Cumulative Monthly Spending,Last Month Budget,Average Monthly Budget
2013-01-01,transport,4390.0,debit,debit_card,0.7,3,25,"[1, 3, 12]",101,"['transport', 'food']",200000,1,1,2013,2013-01,280500.0,8510.0,280500.0,202725.33
2013-01-01,food,4120.0,debit,e-wallet,0.7,3,25,"[1, 3, 12]",101,"['transport', 'food']",200000,1,1,2013,2013-01,280500.0,8510.0,280500.0,202725.33
2013-01-02,transport,2860.0,debit,cash,0.7,3,25,"[1, 3, 12]",101,"['transport', 'food']",200000,2,1,2013,2013-01,280500.0,16210.0,280500.0,202725.33
2013-01-02,transport,2190.0,debit,online_banking,0.7,3,25,"[1, 3, 12]",101,"['transport', 'food']",200000,2,1,2013,2013-01,280500.0,16210.0,280500.0,202725.33
2013-01-02,food,2650.0,debit,debit_card,0.7,3,25,"[1, 3, 12]",101,"['transport', 'food']",200000,2,1,2013,2013-01,280500.0,16210.0,280500.0,202725.33
2013-01-03,shopping,3040.0,debit,e-wallet,0.7,3,25,"[1, 3, 12]",101,"['transport', 'food']",200000,3,1,2013,2013-01,280500.0,26200.0,280500.0,202725.33
2013-01-03,shopping,3900.0,debit,debit_card,0.7,3,25,"[1, 3, 12]",101,"['transport', 'food']",200000,3,1,2013,2013-01,280500.0,26200.0,280500.0,202725.33
2013-01-03,transport,3050.0,debit,debit_card,0.7,3,25,"[1, 3, 12]",101,"['transport', 'food']",200000,3,1,2013,2013-01,280500.0,26200.0,280500.0,202725.33
2013-01-04,food,2490.0,debit,e-wallet,0.7,3,25,"[1, 3, 12]",101,"['transport', 'food']",200000,4,1,2013,2013-01,280500.0,33400.0,280500.0,202725.33
2013-01-04,transport,4710.0,debit,e-wallet,0.7,3,25,"[1, 3, 12]",101,"['transport', 'food']",200000,4,1,2013,2013-01,280500.0,33400.0,280500.0,202725.33
2013-01-05,transport,5210.0,debit,cash,0.7,3,25,"[1, 3, 12]",101,"['transport', 'food']",200000,5,1,2013,2013-01,280500.0,41360.0,280500.0,202725.33
2013-01-05,food,2750.0,debit,e-wallet,0.7,3,25,"[1, 3, 12]",101,"['transport', 'food']",200000,5,1,2013,2013-01,280500.0,41360.0,280500.0,202725.33
2013-01-06,food,2980.0,debit,credit_card,0.7,3,25,"[1, 3, 12]",101,"['transport', 'food']",200000,6,1,2013,2013-01,280500.0,48940.0,280500.0,202725.33
2013-01-06,transport,2140.0,debit,e-wallet,0.7,3,25,"[1, 3, 12]",101,"['transport', 'food']",200000,6,1,2013,2013-01,280500.0,48940.0,280500.0,202725.33
2013-01-06,transport,2460.0,debit,e-wallet,0.7,3,25,"[1, 3, 12]",101,"['transport', 'food']",200000,6,1,2013,2013-01,280500.0,48940.0,280500.0,202725.33
2013-01-07,food,3360.0,debit,cash,0.7,3,25,"[1, 3, 12]",101,"['transport', 'food']",200000,7,1,2013,2013-01,280500.0,57760.0,280500.0,202725.33
2013-01-07,shopping,3130.0,debit,debit_card,0.7,3,25,"[1, 3, 12]",101,"['transport', 'food']",200000,7,1,2013,2013-01,280500.0,57760.0,280500.0,202725.33
