Amount,Day,Month,Year,Transaction Category,Inflation Rate,Year-Month,Credit/Debit,Age,Budget,Dependent Family Size,Most Frequent Expense Categories,Months with Higher Spending,Number of Expenses a Month,Payment Method,Estimated Monthly Expenses,Date,Cumulative Monthly Spending,Last Month Budget,Average Monthly Budget
765.0,2,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-02,8275.0,122575.0,156476.57
3055.0,2,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-02,8275.0,122575.0,156476.57
1175.0,2,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-02,8275.0,122575.0,156476.57
1035.0,2,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-02,8275.0,122575.0,156476.57
430.0,2,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-02,8275.0,122575.0,156476.57
1815.0,2,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-02,8275.0,122575.0,156476.57
1860.0,3,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,31340.0,122575.0,156476.57
1895.0,3,1,2013,shopping,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,31340.0,122575.0,156476.57
930.0,3,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,31340.0,122575.0,156476.57
495.0,3,1,2013,shopping,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,31340.0,122575.0,156476.57
2635.0,3,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,31340.0,122575.0,156476.57
1365.0,3,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,31340.0,122575.0,156476.57
1775.0,3,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,31340.0,122575.0,156476.57
390.0,3,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,31340.0,122575.0,156476.57
805.0,3,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,31340.0,122575.0,156476.57
615.0,3,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,31340.0,122575.0,156476.57
1050.0,3,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,31340.0,122575.0,156476.57
970.0,3,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,31340.0,122575.0,156476.57
1110.0,3,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,31340.0,122575.0,156476.57
1810.0,3,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,31340.0,122575.0,156476.57
1785.0,3,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,31340.0,122575.0,156476.57
1485.0,3,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,31340.0,122575.0,156476.57
1005.0,3,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,31340.0,122575.0,156476.57
385.0,3,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,31340.0,122575.0,156476.57
700.0,3,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,31340.0,122575.0,156476.57
415.0,4,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-04,64010.0,122575.0,156476.57
1845.0,4,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-04,64010.0,122575.0,156476.57
730.0,4,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-04,64010.0,122575.0,156476.57
1250.0,4,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-04,64010.0,122575.0,156476.57
850.0,4,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-04,64010.0,122575.0,156476.57
1190.0,4,1,2013,shopping,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-04,64010.0,122575.0,156476.57
2340.0,4,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-04,64010.0,122575.0,156476.57
585.0,4,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-04,64010.0,122575.0,156476.57
1910.0,4,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-04,64010.0,122575.0,156476.57
1425.0,4,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-04,64010.0,122575.0,156476.57
1695.0,4,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-04,64010.0,122575.0,156476.57
1790.0,4,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-04,64010.0,122575.0,156476.57
2280.0,4,1,2013,shopping,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-04,64010.0,122575.0,156476.57
900.0,4,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-04,64010.0,122575.0,156476.57
1360.0,4,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-04,64010.0,122575.0,156476.57
3660.0,4,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-04,64010.0,122575.0,156476.57
1790.0,4,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-04,64010.0,122575.0,156476.57
1500.0,4,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-04,64010.0,122575.0,156476.57
1520.0,4,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-04,64010.0,122575.0,156476.57
3635.0,4,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-04,64010.0,122575.0,156476.57
1090.0,5,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-05,84030.0,122575.0,156476.57
1415.0,5,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-05,84030.0,122575.0,156476.57
2515.0,5,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-05,84030.0,122575.0,156476.57
1830.0,5,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-05,84030.0,122575.0,156476.57
415.0,5,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-05,84030.0,122575.0,156476.57
2155.0,5,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-05,84030.0,122575.0,156476.57
1400.0,5,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-05,84030.0,122575.0,156476.57
405.0,5,1,2013,shopping,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-05,84030.0,122575.0,156476.57
1075.0,5,1,2013,bills,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-05,84030.0,122575.0,156476.57
1600.0,5,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-05,84030.0,122575.0,156476.57
1005.0,5,1,2013,others,1.4,2013-01,debit,31,122575.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-05,84030.0,122575.0,156476.57
