Date,Transaction Category,Amount,Credit/Debit,Payment Method
2013-01-01,entertainment,1520.0,debit,debit_card
2013-01-01,others,390.0,debit,cash
2013-01-01,food,670.0,debit,online_banking
2013-01-01,transport,550.0,debit,cash
2013-01-01,bills,820.0,debit,e-wallet
2013-01-01,transport,420.0,debit,cash
2013-01-02,food,50.0,debit,debit_card
2013-01-02,transport,180.0,debit,credit_card
2013-01-03,transport,90.0,debit,debit_card
2013-01-03,food,910.0,debit,cash
2013-01-03,others,1050.0,debit,e-wallet
2013-01-04,shopping,1800.0,debit,e-wallet
2013-01-05,food,500.0,debit,debit_card
2013-01-05,transport,830.0,debit,debit_card
2013-01-05,transport,830.0,debit,credit_card
2013-01-05,food,510.0,debit,debit_card
2013-01-05,transport,350.0,debit,online_banking
2013-01-05,transport,380.0,debit,debit_card
2013-01-06,entertainment,1150.0,debit,online_banking
2013-01-06,bills,310.0,debit,debit_card
2013-01-06,transport,180.0,debit,cash
2013-01-06,transport,160.0,debit,e-wallet
2013-01-06,food,120.0,debit,credit_card
2013-01-06,bills,290.0,debit,e-wallet
2013-01-06,transport,330.0,debit,credit_card
2013-01-06,transport,790.0,debit,cash
2013-01-07,shopping,1670.0,debit,debit_card
2013-01-07,bills,390.0,debit,e-wallet
2013-01-07,food,590.0,debit,online_banking
2013-01-08,shopping,1650.0,debit,credit_card
2013-01-08,transport,270.0,debit,cash
2013-01-08,bills,40.0,debit,credit_card
2013-01-09,shopping,1400.0,debit,online_banking
2013-01-09,bills,85.0,debit,debit_card
2013-01-10,food,620.0,debit,online_banking
2013-01-10,bills,1490.0,debit,online_banking
2013-01-10,others,1800.0,debit,cash
2013-01-10,transport,200.0,debit,credit_card
2013-01-10,food,520.0,debit,e-wallet
2013-01-10,bills,1490.0,debit,e-wallet
2013-01-10,transport,770.0,debit,debit_card
2013-01-11,food,600.0,debit,debit_card
2013-01-11,entertainment,1490.0,debit,e-wallet
2013-01-11,transport,510.0,debit,debit_card
2013-01-11,entertainment,1510.0,debit,online_banking
2013-01-11,food,330.0,debit,e-wallet
2013-01-11,shopping,740.0,debit,debit_card
2013-01-11,transport,820.0,debit,e-wallet
2013-01-12,food,550.0,debit,debit_card
2013-01-12,shopping,950.0,debit,credit_card
2013-01-13,transport,320.0,debit,credit_card
2013-01-13,bills,740.0,debit,debit_card
2013-01-13,entertainment,690.0,debit,debit_card
2013-01-13,food,500.0,debit,e-wallet
2013-01-13,food,520.0,debit,online_banking
2013-01-14,transport,75.0,debit,cash
2013-01-14,food,420.0,debit,cash
2013-01-14,food,130.0,debit,debit_card
2013-01-14,entertainment,1570.0,debit,online_banking
2013-01-14,food,160.0,debit,cash
2013-01-14,food,20.0,debit,cash
2013-01-15,bills,1470.0,debit,debit_card
2013-01-16,bills,1070.0,debit,e-wallet
2013-01-17,transport,730.0,debit,e-wallet
2013-01-17,transport,35.0,debit,credit_card
2013-01-17,entertainment,55.0,debit,credit_card
2013-01-18,transport,760.0,debit,credit_card
2013-01-18,entertainment,1330.0,debit,debit_card
2013-01-19,entertainment,710.0,debit,cash
2013-01-19,entertainment,1050.0,debit,online_banking
2013-01-19,bills,330.0,debit,e-wallet
2013-01-19,others,930.0,debit,online_banking
2013-01-20,food,200.0,debit,online_banking
2013-01-20,transport,450.0,debit,e-wallet
2013-01-21,others,1400.0,debit,e-wallet
2013-01-21,food,240.0,debit,credit_card
2013-01-22,transport,700.0,debit,cash
2013-01-22,transport,620.0,debit,online_banking
2013-01-22,food,890.0,debit,online_banking
2013-01-22,shopping,1150.0,debit,credit_card
2013-01-22,transport,180.0,debit,credit_card
2013-01-22,entertainment,1100.0,debit,e-wallet
2013-01-23,transport,830.0,debit,cash
2013-01-23,transport,600.0,debit,online_banking
2013-01-24,shopping,1410.0,debit,e-wallet
2013-01-24,others,1170.0,debit,e-wallet
2013-01-24,others,1420.0,debit,debit_card
2013-01-24,entertainment,1090.0,debit,debit_card
2013-01-24,food,530.0,debit,debit_card
2013-01-25,bills,530.0,debit,online_banking
2013-01-26,bills,620.0,debit,debit_card
2013-01-26,food,620.0,debit,e-wallet
2013-01-26,transport,860.0,debit,online_banking
2013-01-26,food,230.0,debit,debit_card
2013-01-26,entertainment,1210.0,debit,debit_card
2013-01-27,transport,200.0,debit,debit_card
2013-01-27,others,320.0,debit,credit_card
2013-01-27,others,1000.0,debit,debit_card
2013-01-28,food,600.0,debit,debit_card
2013-01-28,shopping,1660.0,debit,online_banking
2013-01-29,transport,100.0,debit,cash
2013-01-29,food,230.0,debit,credit_card
2013-02-01,food,190.0,debit,e-wallet
2013-02-02,entertainment,680.0,debit,e-wallet
2013-02-02,transport,20.0,debit,credit_card
2013-02-02,transport,360.0,debit,e-wallet
2013-02-02,food,410.0,debit,online_banking
2013-02-02,transport,580.0,debit,online_banking
2013-02-02,food,620.0,debit,e-wallet
2013-02-02,transport,630.0,debit,debit_card
2013-02-02,food,260.0,debit,cash
