Date,Description,Amount,Transaction Type,Category,Account Name
2018-04-26,Thai Restaurant,65.55,debit,Restaurants,Silver Card
2018-06-14,Credit Card Payment,352.11,debit,Credit Card Payment,Checking
2018-01-07,Gas Company,36.5,debit,Utilities,Checking
2019-06-14,Brewing Company,8.0,debit,Alcohol & Bars,Silver Card
2018-04-01,Amazon,14.13,debit,Shopping,Platinum Card
2018-11-20,Credit Card Payment,358.37,credit,Credit Card Payment,Platinum Card
2019-09-20,Grocery Store,43.64,debit,Groceries,Platinum Card
2018-11-07,Credit Card Payment,748.88,credit,Credit Card Payment,Platinum Card
2018-02-05,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2018-12-30,Internet Service Provider,74.9,debit,Internet,Checking
2019-06-11,Credit Card Payment,209.06,debit,Credit Card Payment,Checking
2018-12-02,_RARE_,24.66,debit,Restaurants,Silver Card
2018-07-18,Credit Card Payment,250.26,credit,Credit Card Payment,Silver Card
2018-08-25,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2018-08-30,Grocery Store,93.57,debit,Groceries,Silver Card
2018-09-01,Amazon,51.09,debit,Shopping,Platinum Card
2019-02-19,Credit Card Payment,114.47,debit,Credit Card Payment,Checking
2018-03-28,Grocery Store,4.48,debit,Groceries,Silver Card
2019-09-04,Netflix,6.9,debit,Television,Platinum Card
2018-04-26,_RARE_,54.58,debit,Restaurants,Silver Card
2018-06-09,Gas Company,35.0,debit,Utilities,Checking
2019-04-12,Credit Card Payment,361.42,debit,Credit Card Payment,Checking
2018-06-04,Grocery Store,26.1,debit,Groceries,Platinum Card
2019-01-25,Internet Service Provider,75.0,debit,Internet,Checking
2019-05-19,QuikTrip,38.0,debit,Gas & Fuel,Silver Card
2018-12-01,Amazon,47.13,debit,Shopping,Platinum Card
2018-03-08,Netflix,11.76,debit,Movies & DVDs,Platinum Card
2019-05-17,City Water Charges,35.0,debit,Utilities,Checking
2018-03-09,Gas Company,35.0,debit,Utilities,Checking
2019-09-20,BP,39.75,debit,Gas & Fuel,Platinum Card
2018-08-09,Grocery Store,13.19,debit,Groceries,Silver Card
2019-07-01,Amazon,13.02,debit,Shopping,Platinum Card
2018-01-12,Amazon,46.46,debit,Shopping,Platinum Card
2018-07-30,Grocery Store,86.25,debit,Groceries,Silver Card
2018-11-15,Brewing Company,8.2,debit,Alcohol & Bars,Platinum Card
2019-05-14,Hardware Store,50.5,debit,Shopping,Platinum Card
2018-07-28,Starbucks,3.0,debit,Coffee Shops,Platinum Card
2018-05-07,Spotify,10.61,debit,Music,Platinum Card
2018-06-19,Credit Card Payment,541.98,credit,Credit Card Payment,Platinum Card
2018-09-25,Hardware Store,83.43,debit,Home Improvement,Checking
2018-02-09,Gas Company,30.0,debit,Utilities,Checking
2018-12-20,_RARE_,23.33,debit,Restaurants,Silver Card
2018-01-10,Phone Company,67.0,debit,Mobile Phone,Checking
2019-04-10,Grocery Store,12.42,debit,Groceries,Platinum Card
2019-02-13,Hardware Store,16.22,debit,Home Improvement,Silver Card
2019-05-18,State Farm,75.0,debit,Auto Insurance,Checking
2019-02-28,Amazon,31.97,debit,Shopping,Platinum Card
2018-07-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card
2018-12-25,Credit Card Payment,564.93,credit,Credit Card Payment,Silver Card
2018-09-14,Credit Card Payment,512.79,debit,Credit Card Payment,Checking
2019-04-07,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2019-01-21,Credit Card Payment,460.59,debit,Credit Card Payment,Checking
2018-08-09,Spotify,10.69,debit,Music,Platinum Card
2019-03-15,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2018-08-26,Internet Service Provider,74.99,debit,Internet,Checking
2019-02-18,Brewing Company,45.0,debit,Alcohol & Bars,Platinum Card
2018-11-11,Grocery Store,52.1,debit,Groceries,Silver Card
2019-03-18,Amazon,75.0,debit,Shopping,Platinum Card
2018-11-03,Starbucks,2.75,debit,Coffee Shops,Platinum Card
2018-12-12,Credit Card Payment,13.13,debit,Credit Card Payment,Checking
2019-05-15,Power Company,60.0,debit,Utilities,Checking
2019-07-08,Grocery Store,90.09,debit,Groceries,Silver Card
2018-07-22,Grocery Store,3.22,debit,Groceries,Silver Card
